gene_id,gene_symbol,ncbi_gene_id,official_full_name,description,organism,chromosome,map_location,aliases,summary,source_database,source_url,remark,collection_method,evidence_scope
G001,TP53,7157,tumor protein p53,tumor protein p53,Homo sapiens,17,17p13.1,"BCC7, BMFS5, LFS1, P53, TRP53","This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/7157,,通过 NCBI Gene 接口获取,基因基础信息
G002,RB1,5925,RB transcriptional corepressor 1,RB transcriptional corepressor 1,Homo sapiens,13,13q14.2,"OSRC, PPP1R130, RB, p105-Rb, p110-RB1, pRb, pp110","The protein encoded by this gene is a negative regulator of the cell cycle and was the first tumor suppressor gene found. The encoded protein also stabilizes constitutive heterochromatin to maintain the overall chromatin structure. The active, hypophosphorylated form of the protein binds transcription factor E2F1. Defects in this gene are a cause of childhood cancer retinoblastoma (RB), bladder cancer, and osteogenic sarcoma. [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/5925,,通过 NCBI Gene 接口获取,基因基础信息
G003,MYC,4609,"MYC proto-oncogene, bHLH transcription factor","MYC proto-oncogene, bHLH transcription factor",Homo sapiens,8,8q24.21,"MRTL, MYCC, bHLHe39, c-Myc","This gene is a proto-oncogene and encodes a nuclear phosphoprotein that plays a role in cell cycle progression, apoptosis and cellular transformation. The encoded protein forms a heterodimer with the related transcription factor MAX. This complex binds to the E box DNA consensus sequence and regulates the transcription of specific target genes. Amplification of this gene is frequently observed in numerous human cancers. Translocations involving this gene are associated with Burkitt lymphoma and multiple myeloma in human patients. There is evidence to show that translation initiates both from an upstream, in-frame non-AUG (CUG) and a downstream AUG start site, resulting in the production of two isoforms with distinct N-termini. [provided by RefSeq, Aug 2017]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/4609,,通过 NCBI Gene 接口获取,基因基础信息
G004,MYCL,4610,"MYCL proto-oncogene, bHLH transcription factor","MYCL proto-oncogene, bHLH transcription factor",Homo sapiens,1,1p34.2,"L-Myc, LMYC, MYCL1, bHLHe38","Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to act upstream of or within regulation of inner ear auditory receptor cell differentiation. Located in chromosome and nucleoplasm. [provided by Alliance of Genome Resources, Jul 2025]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/4610,,通过 NCBI Gene 接口获取,基因基础信息
G005,MYCN,4613,"MYCN proto-oncogene, bHLH transcription factor","MYCN proto-oncogene, bHLH transcription factor",Homo sapiens,2,2p24.3,"FGLDS1, MODED, MPAPA, MYCNsORF, MYCNsPEP, N-myc, NMYC, ODED, bHLHe37","This gene is a member of the MYC family and encodes a protein with a basic helix-loop-helix (bHLH) domain. This protein is located in the nucleus and must dimerize with another bHLH protein in order to bind DNA. Amplification of this gene is associated with a variety of tumors, most notably neuroblastomas. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2014]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/4613,,通过 NCBI Gene 接口获取,基因基础信息
G006,ASCL1,429,achaete-scute family bHLH transcription factor 1,achaete-scute family bHLH transcription factor 1,Homo sapiens,12,12q23.2,"ASH1, HASH1, MASH1, bHLHa46","This gene encodes a member of the basic helix-loop-helix (BHLH) family of transcription factors. The protein activates transcription by binding to the E box (5'-CANNTG-3'). Dimerization with other BHLH proteins is required for efficient DNA binding. This protein plays a role in the neuronal commitment and differentiation and in the generation of olfactory and autonomic neurons. Mutations in this gene may contribute to the congenital central hypoventilation syndrome (CCHS) phenotype in rare cases. [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/429,,通过 NCBI Gene 接口获取,基因基础信息
G007,NEUROD1,4760,neuronal differentiation 1,neuronal differentiation 1,Homo sapiens,2,2q31.3,"BETA2, BHF-1, MODY6, NEUROD, T2D, bHLHa3","This gene encodes a member of the NeuroD family of basic helix-loop-helix (bHLH) transcription factors. The protein forms heterodimers with other bHLH proteins and activates transcription of genes that contain a specific DNA sequence known as the E-box. It regulates expression of the insulin gene, and mutations in this gene result in type II diabetes mellitus. [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/4760,,通过 NCBI Gene 接口获取,基因基础信息
G008,POU2F3,25833,POU class 2 homeobox 3,POU class 2 homeobox 3,Homo sapiens,11,11q23.3,"Epoc-1, OCT-11, OCT11, OTF-11, PLA-1, PLA1, Skn-1a","This gene encodes a member of the POU domain family of transcription factors. POU domain transcription factors bind to a specific octamer DNA motif and regulate cell type-specific differentiation pathways. The encoded protein is primarily expressed in the epidermis, and plays a critical role in keratinocyte proliferation and differentiation. The encoded protein is also a candidate tumor suppressor protein, and aberrant promoter methylation of this gene may play a role in cervical cancer. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Sep 2011]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/25833,,通过 NCBI Gene 接口获取,基因基础信息
G009,YAP1,10413,Yes1 associated transcriptional regulator,Yes1 associated transcriptional regulator,Homo sapiens,11,11q22.1,"COB1, YAP, YAP-1, YAP2, YAP65, YKI","This gene encodes a downstream nuclear effector of the Hippo signaling pathway which is involved in development, growth, repair, and homeostasis. This gene is known to play a role in the development and progression of multiple cancers as a transcriptional regulator of this signaling pathway and may function as a potential target for cancer treatment. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2013]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/10413,,通过 NCBI Gene 接口获取,基因基础信息
G010,NOTCH1,4851,notch receptor 1,notch receptor 1,Homo sapiens,9,9q34.3,"AOS5, AOVD1, TAN1, hN1","This gene encodes a member of the NOTCH family of proteins. Members of this Type I transmembrane protein family share structural characteristics including an extracellular domain consisting of multiple epidermal growth factor-like (EGF) repeats, and an intracellular domain consisting of multiple different domain types. Notch signaling is an evolutionarily conserved intercellular signaling pathway that regulates interactions between physically adjacent cells through binding of Notch family receptors to their cognate ligands. The encoded preproprotein is proteolytically processed in the trans-Golgi network to generate two polypeptide chains that heterodimerize to form the mature cell-surface receptor. This receptor plays a role in the development of numerous cell and tissue types. Mutations in this gene are associated with aortic valve disease, Adams-Oliver syndrome, T-cell acute lymphoblastic leukemia, chronic lymphocytic leukemia, and head and neck squamous cell carcinoma. [provided by RefSeq, Jan 2016]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/4851,,通过 NCBI Gene 接口获取,基因基础信息
